#DroneDeploy	4.68.0
#Flight Recorder
Session ID	61a804011591990426bf2100
Session Start	12/01/2021 23:23:45
#Device
Device Model	SM-G981U1
Device Manufacturer	samsung
Device Operating System	Android	11
#Aircraft
Aircraft Model	Mavic 2 Pro
Aircraft Name	JMM Mavic 2 Pro
Aircraft Firmware	01.00.0770
#Aircraft Battery
Full Charge Volume (mAh)	3672
Remaining Life (%)	100
Discharges	26
#Components
Battery Cells Number	3
Battery Serial Number	0P2DHA46440515
Battery Firmware	02.74.07.37
Flight Controller Serial Number	1633J6G001M031
Flight Controller Firmware	03.04.00.64
Gimbal Firmware	00.01.10.91
Remote Control Serial Number	1DUCH9UR02642V
Remote Control Firmware	01.00.0770
Camera Serial Number	0K8TFBH0021589
Camera Firmware	00.14.00.06
Date/Time (GMT)	Elapsed Time (sec)	Info	Aircraft Battery Power (%)	Aircraft Battery Charge (mAh)	Aircraft Battery Current (mA)	Aircraft Battery Voltage (mV)	Aircraft Battery Temperature (Fahrenheit)	Aircraft Battery Last Updated (ms)	Aircraft Battery Cell 1 Voltage (mV)	Aircraft Battery Cell 2 Voltage (mV)	Aircraft Battery Cell 3 Voltage (mV)	Aircraft Battery Cell 4 Voltage (mV)	Aircraft Latitude (Degrees)	Aircraft Longitude (Degrees)	Aircraft Barometric Altitude (ft)	Aircraft Heading (Degrees)	Aircraft Pitch (Degrees)	Aircraft Roll (Degrees)	Aircraft Satellites	Aircraft Motors On	Aircraft Flying	Aircraft Flight Mode	Aircraft Flight Mode Value	Aircraft IMU Preheating	Aircraft Ultrasonic On	Aircraft Ultrasonic Altitude (ft)	Aircraft Vision On	Aircraft GPS Signal	Aircraft GPS Signal Value	Aircraft No-Fly	Aircraft No-Fly Value	Aircraft No-fly Latitude (Degrees)	Aircraft No-fly Longitude (Degrees)	Aircraft No-fly Radius (ft)	Home Latitude (Degrees)	Home Longitude (Degrees)	Aircraft Smart Go-home Flight Time Remaining (sec)	Aircraft Smart Go-home Flight Return Time (sec)	Aircraft Smart Go-home Landing Time (sec)	Aircraft Smart Go-home Return Power (%)	Aircraft Smart Go-home Landing Power (%)	Aircraft Smart Go-home Radius (ft)	Aircraft Smart Go-home Countdown (sec)	Aircraft Smart Go-home State	Aircraft System State Last Updated (ms)	Gimbal Pitch (Degrees)	Gimbal Roll (Degrees)	Gimbal Yaw (Degrees)	Gimbal Mode	Gimbal Mode Value	Gimbal Pitch at Stop	Gimbal Roll at Stop	Gimbal Yaw at Stop	Gimbal State Last Updated (ms)	Landing Gear is Movable	Landing Gear Status	Landing Gear Status Value	Landing Gear Mode	Landing Gear Mode Value	RC State	RC State Value	RC Left Horizontal	RC Left Vertical	RC Right Horizontal	RC Right Vertical	RC Left Wheel	RC Right Wheel	RC Landing Gear	RC Landing Gear Value	RC Go Home	RC Record	RC Shutter	RC Playback	RC Pause	RC Custom 1	RC Custom 2	RC State Last Updated (ms)	RC Battery (%)	RC Satellites	RC Horizontal Accuracy (ft)	RC Latitude (Degrees)	RC Longitude (Degrees)	RC GPS Last Updated (ms)	RC Signal 1 (%)	RC Signal 2 (%)	RC Signal Last Updated (ms)	LB Signal 1 (%)	LB Signal 2 (%)	LB Signal Last Updated (ms)	Aircraft Camera Mode	Aircraft Camera Mode Value	Aircraft Camera Overheated	Aircraft Camera Sensor Error	Aircraft Camera Recording	Aircraft Camera Raw Capture	Aircraft Camera Interval Capture	Aircraft Camera Burst Capture	Aircraft Camera Single Capture	Aircraft Camera Storing Photo	Aircraft Camera SD Card Exists	Aircraft Camera SD Card Remaining (%)	Aircraft Camera Lens Installed	Aircraft Camera Lens Type	Aircraft Camera Lens Type Value	Aircraft Camera Lens AF Enabled	Aircraft Camera Lens Focus Mode	Aircraft Camera Lens Focus Mode Value	Aircraft Camera Lens Focus Status	Aircraft Camera Lens Focus Status Value	Aircraft Camera Lens MF Assistant	Aircraft Camera Lens AF Assistant	Aircraft Camera Lens Assistant Working	Device > Aircraft Distance - XY (ft)	Aircraft Vel - X (mph)	Aircraft Vel - Y (mph)	Aircraft Vel - Z (mph)	Aircraft Speed (mph)
12/01/2021 23:24:45	60.519		66	2391	-1342	15942	38.8	16	3991	3985	3986	3979	32.961413341504425	-97.2763997247801	199.80316	160.5	-0.5	-0.3	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5185.6313	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	99.44226648559571	0.0	-0.22369419	0.0	0.22369419
12/01/2021 23:24:45	60.619		66	2391	-1342	15942	38.8	16	3991	3985	3986	3979	32.961413408104306	-97.27639983660568	199.80316	164.6	-0.3	-0.2	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5185.6313	0	IDLE	100	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	99.40392599029542	0.0	-0.22369419	0.0	0.22369419
12/01/2021 23:24:45	60.719		66	2390	-1350	15941	38.8	15	3991	3985	3986	3979	32.96141346965393	-97.27639994120221	199.80316	168.8	-0.2	-0.1	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5185.6313	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	106	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	99.3681198348999	0.0	0.0	0.0	0.0
12/01/2021 23:24:45	60.819		66	2390	-1350	15941	38.8	15	3991	3985	3986	3979	32.9614135273634	-97.27640004067307	199.80316	173.0	-0.2	-0.2	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5185.6313	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	93	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	99.33412839202882	0.0	0.0	0.0	0.0
12/01/2021 23:24:46	60.919		66	2390	-1350	15941	38.8	15	3991	3985	3986	3979	32.96141358143403	-97.2764001354675	199.80316	177.2	-0.2	-0.3	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5185.6313	0	IDLE	100	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	99.30180773620606	0.0	0.0	0.0	0.0
12/01/2021 23:24:46	61.019		66	2390	-1350	15941	38.8	15	3991	3985	3986	3979	32.96141363149959	-97.27640022466656	199.80316	-178.5	-0.2	-0.3	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5185.6313	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	98.19231127166749	0.0	0.0	0.0	0.0
12/01/2021 23:24:46	61.119		66	2390	-1350	15941	38.8	15	3991	3985	3986	3979	32.96141367729665	-97.27640030735131	199.80316	-174.3	-0.2	-0.4	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5185.6313	0	IDLE	103	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	98.1641456817627	0.0	0.0	0.0	0.0
12/01/2021 23:24:46	61.219		66	2390	-1350	15941	38.8	15	3991	3985	3986	3979	32.961413718825185	-97.27640038321546	199.80316	-170.1	-0.1	-0.4	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5185.6313	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	110	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	98.13834547576904	0.0	0.0	0.0	0.0
12/01/2021 23:24:46	61.319		66	2390	-1350	15941	38.8	15	3991	3985	3986	3979	32.96141375627798	-97.27640045227939	199.80316	-165.9	-0.1	-0.4	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5185.6313	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	89	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	98.11488562316895	0.0	0.0	0.0	0.0
12/01/2021 23:24:46	61.419		66	2390	-1350	15941	38.8	15	3991	3985	3986	3979	32.961413789916314	-97.27640051478818	199.80316	-161.8	-0.1	-0.3	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5185.6313	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	100	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	98.09367225952148	0.0	0.0	0.0	0.0
12/01/2021 23:24:46	61.519		66	2390	-1350	15941	38.8	15	3991	3985	3986	3979	32.96141382000577	-97.27640057104811	199.80316	-157.6	0.0	-0.3	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5189.389	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	98.07458648986817	0.0	0.0	0.0	0.0
12/01/2021 23:24:46	61.619		66	2390	-1350	15941	38.8	15	3991	3985	3986	3979	32.96141384675409	-97.27640062134512	199.80316	-153.4	0.0	-0.3	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5189.389	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	98.05754070739746	0.0	0.0	0.0	0.0
12/01/2021 23:24:46	61.719		66	2390	-1343	15940	38.8	13	3991	3985	3986	3979	32.96141384675409	-97.27640062134512	199.80316	-153.4	0.0	-0.3	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5189.389	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	107	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	98.05754070739746	0.0	0.0	0.0	0.0
12/01/2021 23:24:46	61.819		66	2390	-1343	15940	38.8	13	3991	3985	3986	3979	32.961413870390444	-97.27640066600591	199.80316	-149.3	0.0	-0.3	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5189.389	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	91	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	98.04241601715088	0.0	0.0	0.0	0.0
12/01/2021 23:24:47	61.918		66	2390	-1343	15940	38.8	13	3991	3985	3986	3979	32.96141389112902	-97.2764007053062	199.80316	-145.1	0.0	-0.3	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5189.389	0	IDLE	102	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	98.02910603942871	0.0	0.0	0.0	0.0
12/01/2021 23:24:47	62.019		66	2390	-1343	15940	38.8	13	3991	3985	3986	3979	32.96141390918826	-97.27640073959311	199.80316	-141.0	0.0	-0.2	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5189.389	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	98.01749813690186	0.0	0.0	0.0	0.0
12/01/2021 23:24:47	62.119		66	2390	-1343	15940	38.8	13	3991	3985	3986	3979	32.96141392477592	-97.27640076924443	199.80316	-136.8	0.0	-0.2	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5189.389	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	98.00746089935303	0.0	0.0	0.0	0.0
12/01/2021 23:24:47	62.219		66	2390	-1343	15940	38.8	13	3991	3985	3986	3979	32.96141393809547	-97.27640079466863	199.80316	-132.7	0.0	-0.2	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5189.389	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	112	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.99886291656495	0.0	0.0	0.0	0.0
12/01/2021 23:24:47	62.319		66	2390	-1343	15940	38.8	13	3991	3985	3986	3979	32.961413949350366	-97.27640081615156	199.80316	-128.6	0.0	-0.2	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5189.389	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	90	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.9915915512085	0.0	0.0	0.0	0.0
12/01/2021 23:24:47	62.419		66	2390	-1343	15940	38.8	13	3991	3985	3986	3979	32.96141395872053	-97.27640083410164	199.80316	-124.5	0.0	-0.1	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5189.389	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	98	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.9855216506958	0.0	0.0	0.0	0.0
12/01/2021 23:24:47	62.519		66	2390	-1343	15940	38.8	13	3991	3985	3986	3979	32.96141396638156	-97.276400848815	199.80316	-120.3	0.0	-0.1	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5189.389	0	IDLE	102	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.98054683532715	0.0	0.0	0.0	0.0
12/01/2021 23:24:47	62.619		66	2390	-1343	15940	38.8	13	3991	3985	3986	3979	32.961413972498406	-97.27640086060815	199.80316	-116.2	0.0	-0.1	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5196.3066	0	IDLE	102	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	106	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.97656072540283	0.0	0.0	0.0	0.0
12/01/2021 23:24:47	62.719		66	2389	-1344	15940	38.8	15	3991	3985	3986	3979	32.96141397722097	-97.27640086975676	199.80316	-112.1	0.0	-0.1	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5196.3066	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.97347571411133	0.0	0.0	0.0	0.0
12/01/2021 23:24:47	62.819		66	2389	-1344	15940	38.8	15	3991	3985	3986	3979	32.96141398068418	-97.27640087652632	199.80316	-108.0	0.0	-0.1	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5196.3066	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	88	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.97118542175293	0.0	0.0	0.0	0.0
12/01/2021 23:24:48	62.919		66	2389	-1344	15940	38.8	15	3990	3985	3986	3979	32.961413983022965	-97.27640088118234	199.80316	-103.9	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5196.3066	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	102	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.9696210144043	0.0	0.0	0.0	0.0
12/01/2021 23:24:48	63.019		66	2389	-1344	15940	38.8	15	3990	3985	3986	3979	32.961413984352994	-97.27640088393919	199.80316	-99.8	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5196.3066	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.96869488525391	0.0	0.0	0.0	0.0
12/01/2021 23:24:48	63.119		66	2389	-1344	15940	38.8	15	3990	3985	3986	3979	32.96141398478348	-97.27640088500105	199.80316	-95.7	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5196.3066	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	104	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.96834445800782	0.0	0.0	0.0	0.0
12/01/2021 23:24:48	63.219		66	2389	-1344	15940	38.8	15	3990	3985	3986	3979	32.96141398441082	-97.2764008845518	199.80316	-91.6	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5196.3066	0	IDLE	102	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	104	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.96850715637207	0.0	0.0	0.0	0.0
12/01/2021 23:24:48	63.319		66	2389	-1344	15940	38.8	15	3990	3985	3986	3979	32.9614139833271	-97.27640088276497	199.80316	-87.5	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5196.3066	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	95	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.96912040405275	0.0	0.0	0.0	0.0
12/01/2021 23:24:48	63.419		66	2389	-1344	15940	38.8	15	3990	3985	3986	3979	32.961413981607265	-97.27640087980392	199.80316	-83.5	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5196.3066	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.97013414001465	0.0	0.0	0.0	0.0
12/01/2021 23:24:48	63.519		66	2389	-1344	15940	38.8	15	3990	3985	3986	3979	32.96141397931988	-97.27640087577076	199.80316	-79.7	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5196.3066	0	IDLE	102	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	101	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.97151081848145	0.0	0.0	0.0	0.0
12/01/2021 23:24:48	63.619		66	2389	-1344	15940	38.8	15	3990	3985	3986	3979	32.96141397631072	-97.27640087098203	199.80316	-76.7	0.0	0.0	15.0	1	1	F-WP	14	0	1	83.661415	0	Very strong	5	null	0	0.0	0.0	0.0	32.961381393923666	-97.2765761254795	1290	1290	30	15	N/A	5205.3213	0	IDLE	101	-78.0	0.0	0.0	YawFollowMode	2	0	0	0	99	0	Unknown	0	Unknown	3	null	0	0	0	0	0	0	0	Not present	254	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	ShootPhoto	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	Manual	0	Successful	2	0	0	0	97.973169090271	0.0	0.0	0.0	0.0
